Model,Year,Brand,Kms_driven,Price
Honda Activa 5G,2018,Honda,11500,15000 
Bajaj Dominar 400,2019,Bajaj,21863,155000 
Royal Enfield Classic 500,2018,Royal Enfield,39000,158000 
Royal Enfield Classic 500,2018,Royal Enfield,39000,150000 
TVS Ntorq 125,2020,TVS,5300,31500 
Hero Xpulse 200,2022,Hero,400,135000 
Harley Davidson Fat Boy,2015,Harley,12600,740000 
Royal Enfield Classic 350,2019,Royal Enfield,29800,120000 
Royal Enfield Bullet Electra,2013,Royal Enfield,53500,65000 
TVS Star Sport,2018,TVS,6840,34500 
TVS Apache RTR 200,2017,TVS,30000,61500 
Yamaha Enticer,2003,Yamaha,55000,30000 
TVS Apache RTR 180,2011,TVS,12000,47000 
Hero CBZ Xtreme,2010,Hero,50063,24000 
Suzuki Gixxer SF,2015,Suzuki,21000,39999 
Royal Enfield Classic 500,2016,Royal Enfield,15000,110000 
Royal Enfield Bullet 350,2022,Royal Enfield,5000,160000 
Yamaha Fazer,2011,Yamaha,40000,31000 
Yamaha YZF R15,2022,Yamaha,2100,190000 
TVS Apache RTR 160,2020,TVS,6000,100000 
Yamaha FZ16,2016,Yamaha,17650,50000 
Royal Enfield Bullet Electra,2017,Royal Enfield,13200,70000 
TVS Star City Plus,2021,TVS,25000,40000 
Hero Splendor Plus,2020,Hero,24680,63500 
Royal Enfield Bullet Electra,2005,Royal Enfield,30000,50000 
Royal Enfield Bullet Electra,2007,Royal Enfield,25000,50000 
Royal Enfield Thunderbird 350,2009,Royal Enfield,57000,40000 
Honda Livo,2022,Honda,220,95000 
Royal Enfield Bullet Electra,2008,Royal Enfield,23000,50000 
Bajaj Avenger,2013,Bajaj,13000,45000 
Hero Maestro Edge 125,2021,Hero,26800,55000 
KTM Duke 250,2021,KTM,11000,230000 
Honda Activa 4G,2018,Honda,1700,45000 
Bajaj Pulsar 150,2011,Bajaj,48500,25000 
Royal Enfield Classic 350,2017,Royal Enfield,45000,115000 
Yamaha YZF R15,2021,Yamaha,6500,170000 
Bajaj Discover 150 F,2015,Bajaj,55000,23000 
Bajaj Discover 125 DTS,2018,Bajaj,25000,35000 
Bajaj Pulsar 150,2013,Bajaj,57000,30000 
KTM Duke 250,2018,KTM,12614,175000 
KTM Duke 250,2017,KTM,12614,175000 
Royal Enfield Classic 350,2017,Royal Enfield,5000,110000 
Hero Maestro,2015,Hero,24000,35999 
Hero Splendor Plus,2020,Hero,49200,60000 
TVS Ntorq 125,2022,TVS,4200,80000 
Royal Enfield Classic Desert,2017,Royal Enfield,5500,160000 
Royal Enfield Classic 350,2015,Royal Enfield,26100,115000 
Mahindra Rodeo,2010,Mahindra,21000,18500 
Suzuki Gixxer SF,2020,Suzuki,7000,99000 
Suzuki Gixxer SF,2020,Suzuki,7000,99000 
Mahindra Rodeo,2010,Mahindra,21000,
Suzuki Access,2019,Suzuki,8200,60000 
Bajaj Pulsar 150,2019,Bajaj,60000,55000 
Bajaj Avenger Street 220,2016,Bajaj,25000,35000 
Royal Enfield Bullet Electra,2011,Royal Enfield,17000,70000 
Royal Enfield Continental GT,2021,Royal Enfield,15000,294999 
Royal Enfield Classic Desert,2017,Royal Enfield,5500,165000 
Royal Enfield Bullet Electra,2006,Royal Enfield,43000,40000 
Suzuki Intruder 150,2019,Suzuki,19000,75000 
Honda Grazia,2019,Honda,22000,60000 
Honda Activa,2020,Honda,21000,60000 
Royal Enfield Classic 350,2017,Royal Enfield,36500,115000 
Yamaha FZ S,2019,Yamaha,33000,85000 
Yamaha FZ S,2020,Yamaha,35000,90000 
Harley Davidson Fat Boy,2015,Harley,12600,740000 
Bajaj Pulsar 180 DTS,2010,Bajaj,6500,15000 
Bajaj Dominar 400,2018,Bajaj,17000,140000 
KTM 390 Duke ABS,2018,KTM,8000,195000 
LML Piaggio Vespa VX,2014,LML,16000,40000 
Yamaha SZ RR V,2018,Yamaha,38000,42000 
TVS Apache RTR 180,2014,TVS,29000,35000 
Bajaj Discover 125 ST,2013,Bajaj,80000,20500 
TVS Scooty Pep Plus,2022,TVS,300,65000 
Yamaha FZ 25,2018,Yamaha,29000,89000 
Royal Enfield Bullet 350,2021,Royal Enfield,5000,175000 
Yamaha SZ R,2011,Yamaha,70000,20000 
Bajaj Pulsar 135 LS,2022,Bajaj,3500,110000 
Bajaj Pulsar 135 LS,2022,Bajaj,3500,110000 
Royal Enfield Thunderbird 500,2015,Royal Enfield,14000,110000 
Hero Hunk,2008,Hero,51000,14000 
Hero Hunk,2008,Hero,51000,14000 
Bajaj Vikrant V15,2017,Bajaj,26000,33000 
Royal Enfield Thunderbird 500,2015,Royal Enfield,14000,110000 
TVS Ntorq 125,2022,TVS,2500,75000 
Yamaha FZ 25,2018,Yamaha,21000,90000 
Honda Activa 3G,2014,Honda,24000,25000 
TVS Apache RTR 200,2019,TVS,5000,95000 
Royal Enfield Bullet 350,2021,Royal Enfield,12000,165000 
Hero Maestro,2014,Hero,21000,28000 
Hero Destini 125,2020,Hero,8000,45000 
Royal Enfield Bullet 350,2015,Royal Enfield,25000,95000 
Yamaha FZ S,2015,Yamaha,28200,51500 
Hero Karizma ZMR,2012,Hero,63000,55000 
