Model,Year,Brand,Kms_driven,Fuel_type,Price
Tata Nexon XT,2020,Tata,33000, Diesel,970000
Maruti Suzuki Swift,2014,Maruti,70840, Diesel,95000
Mercedes Benz B,2016,Mercedes,44573, Diesel ,1790000
Audi Q3 2.0,2014,Audi,88759, Diesel ,1790000
Honda City ZX,2021,Honda,9900, Petrol ,1490000
Maruti Suzuki Eeco,2017,Maruti,65000, CNG,370000
Mercedes Benz E,2017,Mercedes,20000, Diesel,6200000
Hyundai i20 Asta,2013,Hyundai,70000, Petrol,365000
Maruti Suzuki Swift,2018,Maruti,41000, Petrol,645000
Volkswagen Vento Highline,2011,Volkswagen,70000, Petrol,295000
Mercedes Benz GLA,2016,Mercedes,32000, Diesel,2400000
Mahindra TUV300 T6,2018,Mahindra,54000, Diesel,725000
Land Rover Freelander,2013,Land Rover,89870, Diesel,1499999
Land Rover Freelander,2013,Land Rover,89870, Diesel,1499999
Maruti Suzuki Alto,2011,Maruti,29900, Petrol,165000
Maruti Suzuki Alto,2011,Maruti,29900, Petrol,165000
Toyota Innova Crysta,2019,Toyota,47000, Diesel ,2550000
Hyundai Grand i10,2018,Hyundai,52000, Petrol ,500000
BMW 3 Series,2016,BMW,52000, Diesel ,2435000
Hyundai Grand i10,2018,Hyundai,46000, Diesel ,575000
Ford Figo Base,2016,Ford,91000, Diesel ,450000
Hyundai i20 Magna,2011,Hyundai,70000, Petrol ,230000
Tata Tiago XZ,2018,Tata,66000, CNG ,430000
Maruti Suzuki Alto,2011,Maruti,29900, Petrol,165000
Hyundai Santro Xing,2008,Hyundai,40000, Petrol,150000
Hyundai Elantra SX,2017,Hyundai,44000, Petrol,825000
Maruti Suzuki Vitara,2022,Maruti,200, Petrol ,1450000
Mahindra XUV 500,2017,Mahindra,62000, Diesel,1175000
Honda City 1.5,2013,Honda,65000, Petrol,325000
Mahindra Jeep Classic,2022,Mahindra,15, Diesel,439000
Mahindra Jeep Classic,2022,Mahindra,13, Diesel,434000
Mahindra Jeep Classic,2022,Mahindra,12, Diesel,436000
Maruti Suzuki Alto,2012,Maruti,30000, Petrol,195000
